epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.25641849167645,9.5e-05,0.4272676991150443,0.615819209039548,0.48907632743362833,0.4272676991150443,0.4272676991150443,0.5766731194690266,0.03125,,0.4272676991150443,0.11279542895612815,0.0,0.0,0.0,0.19005979597568512
2,1.5893474267050625,9.025e-05,0.4799502212389381,0.6101694915254238,0.48126382743362833,0.4799502212389381,0.4799502212389381,0.5600110619469026,0.015625,,0.4799502212389381,0.08538008441723184,0.0,0.0,0.0,0.23872336745262146
3,1.2778746910020709,8.573749999999999e-05,0.5485342920353982,0.6497175141242938,0.5359513274336283,0.5485342920353982,0.5485342920353982,0.5144496681415929,0.125,,0.5485342920353982,0.09040061968869369,0.0,0.0,0.0,0.2560351490974426
4,1.221039334088564,8.145062499999998e-05,0.5109236725663717,0.632768361581921,0.5125138274336283,0.5109236725663717,0.5109236725663717,0.5144496681415929,0.0625,,0.5109236725663717,0.16967407770020473,0.0,0.0,0.0,0.28488966822624207
5,1.1122342885658145,7.737809374999998e-05,0.6404867256637168,0.6497175141242938,0.5359513274336283,0.6404867256637168,0.6404867256637168,0.40666482300884954,0.09375,,0.6404867256637168,0.17542293245541132,0.0,0.0,0.0468749962747097,0.29457658529281616
6,0.9823366910591722,7.350918906249998e-05,0.6084070796460177,0.6610169491525424,0.5515763274336283,0.6084070796460177,0.6084070796460177,0.45665099557522126,0.15625,,0.6084070796460177,0.16404370262181822,0.0,0.0,0.02364935725927353,0.29352009296417236
7,0.8115769243240356,6.983372960937497e-05,0.5999723451327434,0.6666666666666666,0.5593888274336283,0.5999723451327434,0.5999723451327434,0.4355641592920354,0.171875,,0.5999723451327434,0.15034689025299477,0.0,0.0,0.0468749962747097,0.3089677095413208
8,0.7185332409664988,6.634204312890622e-05,0.6222345132743363,0.6666666666666666,0.5593888274336283,0.6222345132743363,0.6222345132743363,0.4022400442477876,0.15625,,0.6222345132743363,0.20716538289411401,0.0,0.0,0.0468749962747097,0.30633413791656494
9,0.6880001295357943,6.30249409724609e-05,0.6612278761061948,0.6779661016949152,0.5750138274336283,0.6612278761061948,0.6612278761061948,0.40666482300884954,0.1875,,0.6612278761061948,0.15061837472894152,0.0,0.0,0.0703125,0.31086885929107666
10,0.5333029148727655,5.987369392383786e-05,0.6453263274336284,0.6666666666666666,0.5593888274336283,0.6453263274336284,0.6453263274336284,0.4022400442477876,0.171875,,0.6453263274336284,0.2173425208022237,0.0,0.0,0.0703125,0.31271976232528687
11,0.45739500008523465,5.688000922764596e-05,0.6478152654867256,0.672316384180791,0.5672013274336283,0.6478152654867256,0.6478152654867256,0.3655282079646018,0.1875,,0.6478152654867256,0.24488548000785285,0.0,0.0,0.04806341975927353,0.3007389008998871
12,0.41673162996768953,5.4036008766263664e-05,0.6139380530973451,0.6440677966101694,0.5281388274336283,0.6139380530973451,0.6139380530973451,0.43217643805309736,0.109375,,0.6139380530973451,0.25955078176889396,0.0,0.0,0.06682794541120529,0.3037808835506439
13,0.3649560790881515,5.133420832795048e-05,0.6277654867256638,0.6666666666666666,0.5593888274336283,0.6277654867256638,0.6277654867256638,0.43998893805309736,0.171875,,0.6277654867256638,0.2709181591384454,0.0,0.0,0.0468749962747097,0.2982325553894043
14,0.37039663922041655,4.876749791155295e-05,0.6223727876106195,0.6497175141242938,0.5359513274336283,0.6223727876106195,0.6223727876106195,0.4355641592920354,0.125,,0.6223727876106195,0.2790826793520218,0.0,0.0,0.06446926295757294,0.30464959144592285
15,0.29791633676737544,4.6329123015975305e-05,0.6215431415929205,0.672316384180791,0.5672013274336283,0.6215431415929205,0.6215431415929205,0.39781526548672563,0.078125,,0.6215431415929205,0.2961679822334448,0.0,0.0,0.04752065986394882,0.2985799014568329
16,0.24760096956044436,4.4012666865176535e-05,0.6364767699115044,0.6610169491525424,0.5515763274336283,0.6364767699115044,0.6364767699115044,0.4355641592920354,0.09375,,0.6364767699115044,0.3075621064183802,0.0,0.0,0.06322434544563293,0.2988956868648529
17,0.2755848248302937,4.181203352191771e-05,0.6620575221238938,0.6779661016949152,0.5750138274336283,0.6620575221238938,0.6620575221238938,0.4110896017699115,0.203125,,0.6620575221238938,0.2679738798024173,0.0,0.0,0.047730498015880585,0.2964349389076233
